year,unit,name,wcr,wcs,alpha,npar,lambda,ksfit
2018,1,B01,0.02,0.427,0.022,1.735,0.981,31.225
2018,2,B02,0.02,0.434,0.022,1.349,7.202,83.242
2018,3,B03,0.02,0.443,0.015,1.505,0.139,19.077
2018,4,B04,0.02,0.462,0.015,1.397,0.295,34.884
2018,5,B05,0.01,0.381,0.043,1.808,0.024,63.650
2018,6,B06,0.01,0.385,0.021,1.242,-1.200,104.103
2018,7,B07,0.00,0.401,0.018,1.248,0.952,14.582
2018,8,B08,0.01,0.433,0.010,1.278,-1.919,3.003
2018,9,B09,0.00,0.430,0.007,1.267,-2.387,1.748
2018,10,B10,0.01,0.448,0.013,1.135,4.581,3.832
2018,11,B11,0.01,0.591,0.022,1.107,-5.549,6.305
2018,12,B12,0.01,0.530,0.017,1.091,-4.494,2.246
2018,13,B13,0.01,0.416,0.008,1.437,-1.357,29.832
2018,14,B14,0.01,0.417,0.005,1.302,-0.335,0.895
2018,15,B15,0.01,0.528,0.024,1.282,-1.478,87.451
2018,16,B16,0.01,0.786,0.021,1.279,-1.221,12.357
2018,17,B17,0.00,0.719,0.019,1.137,0.000,4.484
2018,18,B18,0.00,0.765,0.020,1.151,0.000,13.145
2018,19,O01,0.01,0.366,0.016,2.163,2.868,22.322
2018,20,O02,0.02,0.387,0.016,1.524,2.440,22.762
2018,21,O03,0.01,0.340,0.017,1.703,0.000,12.367
2018,22,O04,0.01,0.364,0.014,1.488,2.179,25.815
2018,23,O05,0.01,0.337,0.030,2.888,0.074,17.419
2018,24,O06,0.01,0.333,0.016,1.289,-1.010,32.834
2018,25,O07,0.01,0.513,0.012,1.153,-2.013,37.550
2018,26,O08,0.00,0.454,0.011,1.346,-0.904,8.641
2018,27,O09,0.00,0.458,0.010,1.376,-1.013,3.767
2018,28,O10,0.01,0.472,0.010,1.246,-0.793,2.300
2018,29,O11,0.00,0.444,0.014,1.126,2.357,2.122
2018,30,O12,0.01,0.561,0.009,1.158,-3.172,1.080
2018,31,O13,0.01,0.573,0.028,1.080,-6.091,9.689
2018,32,O14,0.01,0.394,0.003,1.617,0.514,2.496
2018,33,O15,0.01,0.410,0.008,1.287,0.000,2.791
2018,34,O16,0.00,0.889,0.010,1.364,-0.665,1.463
2018,35,O17,0.01,0.849,0.012,1.272,-1.249,3.402
2018,36,O18,0.01,0.580,0.013,1.316,-0.786,35.951

